PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/alp-nicotine-pouches/alp-refreshing-chill-9mg,ALP Refreshing Chill 9mg,20,"ALP Refreshing Chill 9mg is the same type of robust mint pouch every experienced user has in their wheelhouse. It’s a smooth, cool, fresh-tasting product with 9mg of nicotine per sachet. They tick many boxes for those who like an intense herbal experience.",ALP,Mint,Slim,9  mg/pouch,ALP Supply Co. LLC,
https://prilla.com/us/alp-nicotine-pouches/alp-tropical-fruit-3mg,ALP Tropical Fruit 3mg,20,"Looking for something different from a mint pouch? If so, ALP Tropical Fruit 3mg may be the answer. Each is sweet and provides a tasting experience that contains notes of many exotic fruits. And best of all, due to its nicotine strength of 3mg/sachet, users with a low tolerance can enjoy this experience without it being overpowering.",ALP,Fruit,Slim,3  mg/pouch,ALP Supply Co. LLC,Light
https://prilla.com/us/alp-nicotine-pouches/alp-tropical-fruit-6mg,ALP Tropical Fruit 6mg,20,"ALP Tropical Fruit 6mg is a clean, crisp nicotine pouch that transports you to an exotic island. Paired with a strong strength, intermediate users can enjoy this fruity flavor alongside a robust nicotine sensation as each sachet holds 6mg of nicotine.",ALP,Fruit,Slim,6  mg/pouch,ALP Supply Co. LLC,Normal
https://prilla.com/us/alp-nicotine-pouches/alp-tropical-fruit-9mg,ALP Tropical Fruit 9mg,20,"ALP Tropical Fruit 9mg has an exotic fruity flavor that’s clean, crisp, and slightly sweet and pairs this with an extra strong strength supplied by the 9mg of nicotine packed into each sachet.",ALP,Fruit,Slim,9  mg/pouch,ALP Supply Co. LLC,
https://prilla.com/us/berry-nicotine-pouches,Berry Nicotine Pouches,,,,,,,,
https://prilla.com/us/bestsellers,Bestselling Nicotine Pouches,,,,,,,,
https://prilla.com/us/brands,Brands,,,,,,,,
https://prilla.com/us/bridge-nicotine-pouches,Bridge Nicotine Pouches,,,,,,,,
https://prilla.com/us/bridge-nicotine-pouches/bridge-citrus-10mg,Bridge Citrus 10mg,20,"For many users seeking a refreshing alternative to mint, Bridge Citrus 10 mg has become their go-to. It delivers a crisp, fresh, zesty punch of clean citrus flavor reminiscent of homemade lemonade. There is no shortage of sourness and just the right amount of sweetness to bring it all into balance, making these pouches ideal for all-day use. The nicotine content is strong at 10 mg/pouch and best for experienced users.",Bridge,Citrus,Slim,10  mg/pouch,Bridge Pouchworks,
https://prilla.com/us/bridge-nicotine-pouches/bridge-citrus-15mg,Bridge Citrus 15mg,20,"Are you craving a taste of the summer? Perhaps with an extra-strong nicotine kick? If so, Bridge Citrus 15 mg has you covered. Prepare your tastebuds for delicious waves of citrus sourness and zing, coupled with a touch of sweetness for good measure. But, it doesn't stop there! While you savor the taste, you can expect an energizing surge of 15 mg/pouch of pure, synthetic nicotine to satisfy your craving. What's not to like?",Bridge,Citrus,Slim,15  mg/pouch,Bridge Pouchworks,Extra Strong
