ID,Product Name,Vendor Name,Vendor ID,Product URL,Link Status,Price 1 Pack,Price 3 Pack,Price 5 Pack,Price 10 Pack,Price 15 Pack,Price 20 Pack,Price 25 Pack,Price 30 Pack,Price 50 Pack,Price 100 Pack,Currency,Needs Currency Conversion,Price Status,Missing Packs
32403579-8922-4c0d-9386-8c0558f571ff,ZYN Spearmint Mini 1.5mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-spearmint-mini-1-5-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
00313a1e-fad8-425d-9b7a-7d294209a3a0,PABLO mini - Ice Cold,Nicpouch,5139,https://www.nicpouch.co.uk/collections/all/products/pablo-mini-ice-cold,OK,3.85,N/A,N/A,34.7,N/A,65.4,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 5pack; 15pack; 25pack; 30pack; 50pack; 100pack
3b96c864-506a-4728-9af7-2957e9718aaf,ZYN Red Fruits 9mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-red-fruits-strong-9-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
af9668d1-d2d0-434b-8330-a27399a93662,ZYN Guava Spice 11mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-guava-spice-11-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
6e1abe1d-4562-4c8d-b166-ec41b2a784e1,ZYN Cool Mint 9mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-cool-mint-9-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
38c93407-dabb-4da8-9dfb-54282862a953,ZYN Coffee Mini 6mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-coffee-mini-6-mg,OK,£0.99,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
e54b482a-272d-4138-9be4-5e61994c4df0,Tropical Mix - 7 flavors,Snusifer,5085,https://snusifer.com/product/fruity-mix/,OK,25.46,N/A,N/A,N/A,381.90,N/A,N/A,N/A,N/A,N/A,EUR,Yes,MISSING_10PACK,3pack; 5pack; 10pack; 20pack; 25pack; 30pack; 50pack; 100pack
af3722a1-b013-48c6-acbb-3e13e756b3da,Nico-Free Mix,Snusifer,5085,https://snusifer.com/product/nico-free-mix/,OK,29.71,N/A,N/A,N/A,445.65,N/A,N/A,N/A,N/A,N/A,EUR,Yes,MISSING_10PACK,3pack; 5pack; 10pack; 20pack; 25pack; 30pack; 50pack; 100pack
0ad1b05a-551a-44e9-89a9-8d68c983c88b,Minty Mix,Snusifer,5085,https://snusifer.com/product/minty-mix/,OK,22.91,N/A,N/A,N/A,343.65,N/A,N/A,N/A,N/A,N/A,EUR,Yes,MISSING_10PACK,3pack; 5pack; 10pack; 20pack; 25pack; 30pack; 50pack; 100pack
8e659c16-1222-458f-8bfc-318d21cb04cd,ZYN Citrus Mini 6mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-citrus-mini-strong-6-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
554bbac3-c9a8-4ed8-80fd-08d96e09aecf,Onico Pure White Slim - Nico-Free,Snusifer,5085,https://snusifer.com/product/onico-pure-white/,OK,5.09,N/A,N/A,N/A,76.35,N/A,N/A,N/A,N/A,N/A,EUR,Yes,MISSING_10PACK,3pack; 5pack; 10pack; 20pack; 25pack; 30pack; 50pack; 100pack
25b8bb4b-5505-4612-a6d5-9061bdd82a16,ZYN Blackcurrant Frost 13.5mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-blackcurrant-frost-13-5-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
59200818-0c18-4157-9acd-57fb94df38dd,ZYN Apple Mint Mini 6mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-apple-mint-mini-6-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
82e74e22-8bb0-49fd-8a39-049a346309ad,Onico Original - Nico-Free,Snusifer,5085,https://snusifer.com/product/onico-original/,OK,5.09,N/A,N/A,N/A,76.35,N/A,N/A,N/A,N/A,N/A,EUR,Yes,MISSING_10PACK,3pack; 5pack; 10pack; 20pack; 25pack; 30pack; 50pack; 100pack
13cab952-4618-4d38-971d-ac3cb181d48c,ZYN Apple Mint Mini 3mg,HAYYP,5084,https://www.haypp.com/uk/nicotine-pouches/zyn/zyn-apple-mint-mini-3-mg,OK,£4.49,£10.00,£17.45,£29.90,N/A,£49.80,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
