ID,Product Name,Vendor Name,Vendor ID,Product URL,Link Status,Price 1 Pack,Price 3 Pack,Price 5 Pack,Price 10 Pack,Price 15 Pack,Price 20 Pack,Price 25 Pack,Price 30 Pack,Price 50 Pack,Price 100 Pack,Currency,Needs Currency Conversion,Price Status,Missing Packs
2746eef5-0dfc-4a70-8590-9e6412e8dfc4,Velo Icy Berries [14 mg],Emeraldpods,9,https://emeraldpods.ie/product/velo-icy-berries-14-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
f08d99c0-0e9d-4050-b025-605806cc3e59,Rebel Wild Fruit Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-wild-fruit-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
01e548aa-7d4f-4a67-b7d8-aee128777c50,Siberia Slim [33 mg],Emeraldpods,9,https://emeraldpods.ie/product/siberia-slim-33-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
c4d86696-2b44-4b10-9cf9-17ad719268f3,Rebel Ice Mint Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-ice-mint-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
b68d44f9-17e0-49cb-ba48-05d7b76f2c66,Rebel Crisp Citrus Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-crisp-citrus-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
6c12da55-8efe-4522-82d4-5915da7c48ca,Rebel Crisp Citrus Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-crisp-citrus-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
6ff52c0a-d552-4780-ae83-2ea954845092,Rebel Wild Fruit Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-wild-fruit-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
60635a57-8cd7-45cb-9042-71e41e8be98b,Rebel Zesty Lime Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-zesty-lime-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
9a15e968-3178-4ba1-93db-791bd2c95d54,Siberia Original All White [33 mg],Emeraldpods,9,https://emeraldpods.ie/product/siberia-original-all-white-33-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
3f30fc8b-2d41-4a62-8d0f-eface120f39f,Rebel Zesty Lime Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-zesty-lime-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
ef77ce6a-1429-4f39-8622-99e00b04aba1,Siberia Original All White [33 mg],Emeraldpods,9,https://emeraldpods.ie/product/siberia-original-all-white-33-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
2ce77134-6a55-44f8-bb2c-4383745fcf81,Siberia Slim [33 mg],Emeraldpods,9,https://emeraldpods.ie/product/siberia-slim-33-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
ecdcc006-64d1-4865-ae90-c9fe2af9e878,Rebel Juicy Grape Strong [16 mg],Emeraldpods,9,https://emeraldpods.ie/product/rebel-juicy-grape-strong-16-mg,OK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EUR,Yes,NO_PRICES,1pack; 3pack; 5pack; 10pack; 15pack; 20pack; 25pack; 30pack; 50pack; 100pack
