ID,Name,Price,Sale Price,SKU,Stock Status,Image Filename,Image URL
66937,"77 Raspberry &amp; Vanilla","0","","SKU-77-RASPBERRY-AND-VANILLA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Raspberry_and_Vanilla_Slim_SL_45779_Nicotine_Pouches-NPO-77X_RAVA_SL_0052-6.jpg"
66940,"77 Salted Caramel","0","","SKU-77-SALTED-CARAMEL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Salted_Caramel_Slim_SL_3_5_Nicotine_Pouches-NPO-77X_SACA_SL_0104-4.jpg"
66944,"77 Strawberry","0","","SKU-77-STRAWBERRY","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Strawberry_Slim_SL_45779_Nicotine_Pouches-NPO-77X_STRA_SL_0052-4.jpg"
66947,"77 Tropical Mint","0","","SKU-77-TROPICAL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Tropical_Mint_Slim_SL_45780_Nicotine_Pouches-NPO-77X_TRMI_SL_0104-4.jpg"
66950,"77 Watermelon","0","","SKU-77-WATERMELON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Watermelon_Slim_SL_45779_Nicotine_Pouches-NPO-77X_WATE_SL_0052-4.jpg"
66953,"77 Watermelon Ice","0","","SKU-77-WATERMELON-ICE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/77_Watermelon_Ice_Slim_SL_45780_Nicotine_Pouches-NPO-77X_WAIC_SL_0104-4.jpg"
66956,"Ace Berry Breeze","0","","SKU-ACE-BERRY-BREEZE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Berry_Breeze_Slim_SL_2_5_Nicotine_Pouches-NPO-ACE_BEBR_SL_0036-4.jpg"
66960,"Ace Cool Mint","0","","SKU-ACE-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Cool_Mint_Slim_SL_2_5_Nicotine_Pouches-NPO-ACE_COMI_SL_0036-6.jpg"
66963,"Ace Double Mint","0","","SKU-ACE-DOUBLE-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Double_Mint_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_DOMI_SL_0080-6.jpg"
66967,"Ace Eucalyptus","0","","SKU-ACE-EUCALYPTUS","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Eucalyptus_Slim_SL_4_5_Nicotine_Pouches-NPO-ACE_EUCA_SL_0060-6.jpg"
66970,"Ace Extreme Cool","0","","SKU-ACE-EXTREME-COOL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Extreme_Cool_Slim_SL_4_5_Nicotine_Pouches-NPO-ACE_EXCO_SL_0096-4.jpg"
66973,"Ace Green Lemon","0","","SKU-ACE-GREEN-LEMON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Green_Lemon_Slim_SL_4_5_Nicotine_Pouches-NPO-ACE_GRLE_SL_0096-4.jpg"
66977,"Ace Guarana Chili Boost","0","","SKU-ACE-GUARANA-CHILI-BOOST","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Guarana_Chili_Boost_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_GUCH_SL_0080-4.jpg"
66980,"Ace Honeydew Black Pepper","0","","SKU-ACE-HONEYDEW-BLACK-PEPPER","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Honeydew_Black_Pepper_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_HOBL_SL_0080-2.jpg"
66983,"Ace Liquorice Mint","0","","SKU-ACE-LIQUORICE-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Liquorice_Mint_Slim_SL_4_5_Nicotine_Pouches-NPO-ACE_LIMI_SL_0096-2.jpg"
66986,"Ace Nordic Freeze","0","","SKU-ACE-NORDIC-FREEZE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Nordic_Freeze_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_NOFR_SL_0080-2.jpg"
66989,"Ace Red Apple Cinnamon","0","","SKU-ACE-RED-APPLE-CINNAMON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Red_Apple_Cinnamon_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_REAP_SL_0080-2.jpg"
66993,"Ace Spearmint","0","","SKU-ACE-SPEARMINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Spearmint_Slim_SL_4_5_Nicotine_Pouches-NPO-ACE_SPEA_SL_0060-2.jpg"
66996,"Ace X Black Raspberry Chilli","0","","SKU-ACE-X-BLACK-RASPBERRY-CHILLI","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_X_Black_Raspberry_Chilli_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_XBLX_SL_0080-2.jpg"
66999,"Ace X Cool Mint","0","","SKU-ACE-X-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_X_Cool_Mint_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_XCOX_SL_0080-2.jpg"
67002,"Ace X Cosmic Cool Mint","0","","SKU-ACE-X-COSMIC-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_X_Cosmic_Cool_Mint_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_XCOC_SL_0116-2.jpg"
67005,"Ace Xmas Edition","0","","SKU-ACE-XMAS-EDITION","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Ace_Xmas_Edition_Slim_SL_5_5_Nicotine_Pouches-NPO-ACE_XMED_SL_0080-2.jpg"
67009,"Apres Cactus Lime","0","","SKU-APRES-CACTUS-LIME","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Cactus_Lime_Slim_SL_45749_Nicotine_Pouches-NPO-APR_CALI_SL_0044-2.jpg"
67012,"Apres Appletini","0","","SKU-APRES-APPLETINI","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Appletini_Slim_SL_4_4_Nicotine_Pouches-NPO-APR_APPL_SL_0083-2.jpg"
67016,"Apres Cola","0","","SKU-APRES-COLA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Cola_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_COLA_SL_0044-2.jpg"
67020,"Apres Ice Tea Peach","0","","SKU-APRES-ICE-TEA-PEACH","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Ice_Tea_Peach_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_ICTE_SL_0044-2.jpg"
67023,"Apres Menthol","0","","SKU-APRES-MENTHOL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Menthol_Slim_SL_4_4_Nicotine_Pouches-NPO-APR_MENT_SL_0083-2.jpg"
67026,"Apres Mint","0","","SKU-APRES-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Mint_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_MINT_SL_0044-4.jpg"
67030,"Apres Lemon Curd","0","","SKU-APRES-LEMON-CURD","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Lemon_Curd_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_LECU_SL_0044-4.jpg"
67033,"Apres Tangerine","0","","SKU-APRES-TANGERINE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_All_White_No_7_Tangerine_Slim_Wet_No_7_2_4_Nicotine_Pouches-UNKNOWN000001-4.jpg"
67036,"Apres Raspberry Liqorice","0","","SKU-APRES-RASPBERRY-LIQORICE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Raspberry_Liqorice_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_RALI_SL_0044-2.jpg"
67040,"Apres Tangerine Spritz","0","","SKU-APRES-TANGERINE-SPRITZ","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Tangerine_Spritz_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_TASP_SL_0044-2.jpg"
